2024-06-13 13:16:37 | INFO | controller | 正在启动服务：
2024-06-13 13:16:37 | INFO | controller | 如需查看 服务日志 日志，请前往 /home/00_rag/fufan-chat-api/logs
2024-06-13 13:16:39 | ERROR | stderr | /home/util/anaconda3/envs/fufan-chat/lib/python3.11/site-packages/pydantic/_internal/_fields.py:160: UserWarning: Field "model_name" has conflict with protected namespace "model_".
2024-06-13 13:16:39 | ERROR | stderr | 
2024-06-13 13:16:39 | ERROR | stderr | You may be able to resolve this warning by setting `model_config['protected_namespaces'] = ()`.
2024-06-13 13:16:39 | ERROR | stderr |   warnings.warn(
2024-06-13 13:16:39 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m191463[0m]
2024-06-13 13:16:39 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2024-06-13 13:16:39 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2024-06-13 13:16:39 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://192.168.110.131:20001[0m (Press CTRL+C to quit)
2024-06-13 13:16:41 | INFO | controller | Register a new worker: http://192.168.110.131:21001
2024-06-13 13:16:41 | INFO | controller | Register done: http://192.168.110.131:21001, {'model_names': ['zhipu-api'], 'speed': 1, 'queue_length': 0}
2024-06-13 13:16:41 | INFO | stdout | [32mINFO[0m:     192.168.110.131:38880 - "[1mPOST /register_worker HTTP/1.1[0m" [32m200 OK[0m
2024-06-13 13:16:41 | ERROR | stderr | Process openai_api:
2024-06-13 13:16:41 | ERROR | stderr | Traceback (most recent call last):
2024-06-13 13:16:41 | ERROR | stderr |   File "/home/util/anaconda3/envs/fufan-chat/lib/python3.11/multiprocessing/process.py", line 314, in _bootstrap
2024-06-13 13:16:41 | ERROR | stderr |     self.run()
2024-06-13 13:16:41 | ERROR | stderr |   File "/home/util/anaconda3/envs/fufan-chat/lib/python3.11/multiprocessing/process.py", line 108, in run
2024-06-13 13:16:41 | ERROR | stderr |     self._target(*self._args, **self._kwargs)
2024-06-13 13:16:41 | ERROR | stderr |   File "/home/00_rag/fufan-chat-api/startup.py", line 171, in run_openai_api
2024-06-13 13:16:41 | ERROR | stderr |     app = create_openai_api_app(controller_addr, log_level=log_level)
2024-06-13 13:16:41 | ERROR | stderr |           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2024-06-13 13:16:41 | ERROR | stderr |   File "/home/00_rag/fufan-chat-api/startup.py", line 189, in create_openai_api_app
2024-06-13 13:16:41 | ERROR | stderr |     from fastchat.serve.openai_api_server import app, CORSMiddleware, app_settings
2024-06-13 13:16:41 | ERROR | stderr |   File "/home/util/anaconda3/envs/fufan-chat/lib/python3.11/site-packages/fastchat/serve/openai_api_server.py", line 39, in <module>
2024-06-13 13:16:41 | ERROR | stderr |     from fastchat.protocol.openai_api_protocol import (
2024-06-13 13:16:41 | ERROR | stderr | ModuleNotFoundError: No module named 'fastchat.protocol'
2024-06-13 13:16:42 | ERROR | stderr | /home/util/anaconda3/envs/fufan-chat/lib/python3.11/site-packages/pydantic/_internal/_fields.py:160: UserWarning: Field "model_name" has conflict with protected namespace "model_".
2024-06-13 13:16:42 | ERROR | stderr | 
2024-06-13 13:16:42 | ERROR | stderr | You may be able to resolve this warning by setting `model_config['protected_namespaces'] = ()`.
2024-06-13 13:16:42 | ERROR | stderr |   warnings.warn(
2024-06-13 13:16:42 | ERROR | stderr | Process API Server:
2024-06-13 13:16:42 | ERROR | stderr | Traceback (most recent call last):
2024-06-13 13:16:42 | ERROR | stderr |   File "/home/util/anaconda3/envs/fufan-chat/lib/python3.11/multiprocessing/process.py", line 314, in _bootstrap
2024-06-13 13:16:42 | ERROR | stderr |     self.run()
2024-06-13 13:16:42 | ERROR | stderr |   File "/home/util/anaconda3/envs/fufan-chat/lib/python3.11/multiprocessing/process.py", line 108, in run
2024-06-13 13:16:42 | ERROR | stderr |     self._target(*self._args, **self._kwargs)
2024-06-13 13:16:42 | ERROR | stderr |   File "/home/00_rag/fufan-chat-api/startup.py", line 346, in run_api_server
2024-06-13 13:16:42 | ERROR | stderr |     app = create_app()
2024-06-13 13:16:42 | ERROR | stderr |           ^^^^^^^^^^^^
2024-06-13 13:16:42 | ERROR | stderr |   File "/home/00_rag/fufan-chat-api/server/api_router.py", line 30, in create_app
2024-06-13 13:16:42 | ERROR | stderr |     mount_app_routes(app)
2024-06-13 13:16:42 | ERROR | stderr |   File "/home/00_rag/fufan-chat-api/server/api_router.py", line 59, in mount_app_routes
2024-06-13 13:16:42 | ERROR | stderr |     mount_knowledge_routes(app)
2024-06-13 13:16:42 | ERROR | stderr |   File "/home/00_rag/fufan-chat-api/server/api_router.py", line 39, in mount_knowledge_routes
2024-06-13 13:16:42 | ERROR | stderr |     from server.chat.knowledge_base_chat import knowledge_base_chat
2024-06-13 13:16:42 | ERROR | stderr |   File "/home/00_rag/fufan-chat-api/server/chat/knowledge_base_chat.py", line 7, in <module>
2024-06-13 13:16:42 | ERROR | stderr |     from configs import (LLM_MODELS,
2024-06-13 13:16:42 | ERROR | stderr | ImportError: cannot import name 'SCORE_THRESHOLD' from 'configs' (/home/00_rag/fufan-chat-api/configs/__init__.py)
2024-06-13 13:17:26 | INFO | controller | Receive heart beat. http://192.168.110.131:21001
2024-06-13 13:17:26 | INFO | stdout | [32mINFO[0m:     192.168.110.131:57996 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-06-13 13:17:40 | WARNING | controller | Sending SIGKILL to {'zhipu-api': <Process name='api_worker - zhipu-api (191542)' pid=191542 parent=191114 started daemon>}
2024-06-13 13:17:40 | WARNING | controller | Sending SIGKILL to {}
2024-06-13 13:17:40 | WARNING | controller | Sending SIGKILL to <Process name='controller (191463)' pid=191463 parent=191114 started daemon>
2024-06-13 13:17:40 | WARNING | controller | Sending SIGKILL to <Process name='openai_api (191541)' pid=191541 parent=191114 stopped exitcode=1 daemon>
2024-06-13 13:17:40 | WARNING | controller | Sending SIGKILL to <Process name='API Server (191677)' pid=191677 parent=191114 stopped exitcode=1 daemon>
2024-06-13 13:17:40 | INFO | controller | Process status: {'zhipu-api': <Process name='api_worker - zhipu-api (191542)' pid=191542 parent=191114 started daemon>}
